s.no,code,Station,Latitude,Longitude
396,BRKH,Bisapur Kalan Halt,21.9135481,78.9224728
397,NDNI,Nidhani,22.6077911,79.982121
398,CDI,Chandni,21.4260254,76.3486612
399,DPW,Dhapewara,21.8724198,80.1912445
400,RTZ,Ratona,23.8351437,78.6848223
401,RMO,Ramakona,21.7034042,78.8574225
402,RMPH,Rampahari,26.2153162,77.3389907
403,MXS,Mohasa,24.3756427,78.2877641
404,BRGJ,Bargaon Gujar,21.7771555,76.3554311
405,HATI,Hati,24.6881125,80.8426917
406,DKRA,Dhuankheri,24.4924431,75.8907187
407,BJG,Bajrangarh,22.9880419,74.6437794
408,KQS,Kailaras,26.3037579,77.6189749
409,BIF,Bhaironpur,22.4404741,77.4189803
